student_id_number,ACT_score,hs_gpa_entry,hardship_score
149,,,0
150,,,2
151,23,3.615,0
152,,,0
153,,,0
154,,,0
155,,2.74,0
156,,,1
157,21,3.04,3
158,,,0
159,,,0
160,,,3
161,19,3.156,0
162,26,4,0
163,,,0
164,,,3
165,,,1
166,,,1
167,,,0
168,,,0
169,,2.412,0
170,20,2.85,0
171,,2.911,0
172,,,0
173,,3.92,0
174,29,3.94,0
175,22,3.638,0
176,21,,0
177,17,2.867,0
178,26,3.283,0
179,,1.62,0
180,,,0
181,,,0
182,,,0
183,,,0
184,,,0
185,,,0
186,,,0
187,,,0
188,,,1
189,,,0
190,,,0
191,,3.436,3
192,19,2.553,0
193,,,3
194,,,3
195,20,,0
196,22,3.571,0
197,,,0
198,15,2.546,0
199,23,,2
200,,,0
201,26,3.347,2
202,,,0
203,,,0
204,22,3.425,0
205,18,2.821,0
206,22,3.86,0
207,22,3.86,0
208,,1.779,0
209,,,0
210,,,0
211,,,0
212,,,0
213,,,0
214,20,,3
215,20,,3
216,30,3.682,0
217,18,,0
218,,,0
219,,,0
220,,,0
221,,,0
222,,3.49,0
223,17,2.62,0
224,,,0
225,24,3.215,0
226,25,,0
227,23,2.729,2
228,,,0
229,19,2.802,0
230,23,3.86,0
231,17,3.529,0
232,,,0
233,,3.26,1
234,,,0
235,,,0
236,,,0
237,23,,0
238,,2.747,0
239,,,0
240,17,2.75,2
241,,,0
242,25,,0
243,20,3.756,0
244,19,3.65,0
245,17,,0
246,24,3.336,0
247,,,0
248,21,3.04,0
249,,,0
250,25,3.607,0
251,21,2.809,0
252,20,3.686,0
253,20,3.686,0
254,,2.629,3
255,22,3.763,0
256,,,0
257,24,3.917,0
258,,,0
259,,,0
260,,,0
261,,,0
262,19,2.712,3
263,18,4,0
264,,,0
265,,3.922,0
266,,,0
267,22,3.611,0
268,22,3.14,1
269,,,0
270,,,0
271,,,0
272,,,0
273,,,2
274,,,0
275,19,,0
276,,2.18,0
277,14,2.375,0
278,17,2.473,3
279,,,0
280,17,2.438,0
281,,,0
282,,,0
283,16,2.66,1
284,,,0
285,,,0
286,,2.21,3
287,,,0
288,,,0
289,,,0
290,,3.81,3
291,,,0
292,,,0
293,,,0
294,,,0
295,,,0
296,,,0
297,,3.218,0
298,20,,0
299,,,0
300,,,0
301,26,,0
302,30,4.079,0
303,,,0
304,15,3.243,0
305,23,3.036,0
306,17,,3
307,,,0
308,,,0
309,,2.331,3
310,,3.727,0
311,,,0
312,,2.261,0
313,,,0
314,,1.97,0
315,,,1
316,31,4.123,0
317,,,0
318,21,2.977,0
319,,2.468,0
320,,2.468,0
321,13,,3
322,13,,3
323,24,,0
324,,,0
325,19,2.967,2
326,,,0
327,,2.46,0
328,,,0
329,,,0
330,,2.255,0
331,,,0
332,,,0
333,,,0
334,19,3.38,0
335,,,0
336,19,,0
337,,,0
338,19,3.913,0
339,,,0
340,22,3.057,0
341,18,2.733,0
342,20,3.741,0
343,25,4.02,0
344,,,0
345,21,3.75,0
346,17,2.675,0
347,16,,0
348,14,2.558,0
349,18,3.179,0
350,14,91.12,0
351,,2.8,0
352,17,2.905,0
353,,,0
354,18,,0
355,20,2.67,0
356,,,0
357,16,,0
358,,,0
359,,,0
360,,,0
361,,2.777,0
362,,1.851,0
363,24,,0
364,,,0
365,,,2
366,,2.3,0
367,,3.055,0
368,,,0
369,,,0
370,26,,0
371,,,0
372,,,0
373,21,2.587,0
374,19,1.909,0
375,23,2.805,0
376,26,2.675,0
377,15,2.538,0
378,,2.455,0
379,,2.455,0
380,,,0
381,,,3
382,,1.554,3
383,,1.554,3
384,22,3.562,0
385,23,3.79,0
386,28,3.095,0
387,,,0
388,20,3.257,0
389,,,0
390,,,0
391,17,3.29,3
392,,,0
393,23,3.14,0
394,,,0
395,,2.059,0
396,,2.576,0
397,18,3.411,3
398,26,3.596,0
399,,,0
400,18,3.314,1
401,18,3.314,1
402,,,0
403,21,,0
404,19,3.935,3
405,17,,0
406,,,0
407,,,0
408,,,0
409,,,0
410,,2.333,0
411,25,3.972,0
412,,,0
413,21,3.949,0
414,23,,2
415,25,3.246,0
416,,2.804,0
417,20,,0
418,,2.163,0
419,,2.69,0
420,,,0
421,,3.4,3
422,,2.777,0
423,29,4,0
424,,,0
425,,1.821,3
426,,2.47,0
427,20,3.364,0
428,21,,0
429,,,0
430,,,0
431,24,4,0
432,17,2.307,0
433,,,0
434,,,0
435,,,0
436,,,0
437,17,2.41,0
438,30,3.901,0
439,21,3.318,0
440,24,2.9,2
441,,1.813,0
442,,,0
443,,,0
444,,1.537,0
445,,3.8,0
446,,,0
447,,3.098,0
448,21,1.86,0
449,20,,2
450,,,0
451,20,3.079,0
452,18,3.06,0
453,,,0
454,,,0
455,,,0
456,20,3,0
457,,3.45,2
458,,,0
459,17,3,0
460,32,3.137,0
461,,,0
462,20,,0
463,24,3.974,0
464,,,0
465,24,3.53,0
466,,,0
467,17,3.283,0
468,,2.327,0
469,,,0
470,21,3.414,0
471,25,3.541,2
472,,,0
473,18,,3
474,19,2.683,3
475,,,0
476,,,0
477,,2.505,1
478,24,2.232,0
479,,,0
480,14,2.907,0
481,14,2.907,0
482,,,0
483,21,4.09,0
484,,3.596,3
485,,2.871,0
486,23,3.926,3
487,15,,3
488,19,3.27,0
489,,,0
490,,3.367,1
491,26,3.412,0
492,,2.668,3
493,,,1
494,,3.5,0
495,27,2.95,0
496,,3.531,0
497,18,2.85,0
498,19,3.102,0
499,16,3.86,0
500,25,4,2
501,25,4,2
502,,,0
503,30,4,0
504,,3.125,2
505,21,2.083,3
506,21,2.926,0
507,,,0
508,23,3.34,0
509,,,0
510,24,3.17,0
511,,,0
512,,3.091,3
513,,,0
514,,,0
515,,,0
516,,,0
517,,,0
518,,,0
519,26,3.028,0
520,23,2.628,0
521,18,,0
522,18,3.418,0
523,24,3.267,0
524,30,3.64,0
525,22,2.106,1
526,,,0
527,,,0
528,,,0
529,,,0
530,,,0
531,,3.749,0
532,,,0
533,,,0
534,,2.667,0
535,,,0
536,,,0
537,,,0
538,26,3.508,0
539,,,0
540,,,0
541,,,0
542,,,0
543,,,0
544,,3.881,0
545,18,2.023,3
546,,,0
547,25,3.47,0
548,,3.561,3
549,,,0
550,,,0
551,,,0
552,,,0
553,15,2.39,0
554,25,2.67,1
555,25,2.67,1
556,,2.35,0
557,,,0
558,,,0
559,19,3.211,0
560,,,0
561,,,0
562,,,3
563,,,0
564,,3.762,0
565,,,0
566,,,0
567,,1.65,0
568,,3.984,1
569,,,0
570,,,0
571,22,1.913,0
572,,,0
573,,,2
574,,,0
575,,2.937,3
576,,,0
577,,,0
578,,,0
579,,,0
580,,,0
581,21,2.778,1
582,,,0
583,21,2.335,0
584,13,2.622,3
585,16,,0
586,,,0
587,16,3.667,0
588,16,2.85,1
589,,,0
590,16,2.283,0
591,,,0
592,20,,0
593,,,0
594,26,3.957,0
595,25,3.771,0
596,,,0
597,,1.74,3
598,22,2.921,1
599,,,0
600,18,2.39,1
601,18,2.587,0
602,,3.32,3
603,,,0
604,,,0
605,,,0
606,22,,3
607,22,,3
608,16,2.444,3
609,16,2.444,3
610,31,3.86,0
611,20,3.708,0
612,20,3.708,0
613,18,2.756,0
614,22,3.756,1
615,,1.696,0
616,,,0
617,15,2.397,2
618,,,0
619,22,3.634,0
620,,3.7,1
621,,,0
622,,,0
623,,,0
624,,,0
625,,,0
626,16,2.226,0
627,,,0
628,26,3.55,0
629,18,2.604,0
630,24,3.536,0
631,,,0
632,,,0
633,22,2.6,0
634,20,3.7,0
635,19,2.737,0
636,25,3.227,0
637,15,2.186,1
638,,,0
639,19,3.02,0
640,,2.733,0
641,,,0
642,,,0
643,25,3.271,1
644,20,3.334,0
645,22,2.9,0
646,,,3
647,,,0
648,,,0
649,,,0
650,,,0
651,,3.244,1
652,21,2.933,0
653,21,2.774,3
654,22,3.188,0
655,,,0
656,,,0
657,,,0
658,,2.96,0
659,21,3.831,1
660,,,0
661,,,0
662,21,3.69,0
663,,,0
664,,2.982,3
665,,,0
666,,,0
667,,,0
668,24,3.781,0
669,,2.721,0
670,,,0
671,21,2.567,0
672,21,2.567,0
673,,,0
674,18,2.515,1
675,25,4.108,0
676,,1.644,3
677,20,2.87,0
678,17,3.107,3
679,19,2.165,0
680,22,,3
681,19,3.136,0
682,,,0
683,,,0
684,24,2.1,2
685,,,0
686,,,0
687,,,0
688,,,0
689,,,0
690,,2.573,3
691,,,0
692,,,0
693,,,0
694,,,1
695,24,3.619,2
696,,2.257,0
697,17,2.808,3
698,,,0
699,,,0
700,,,0
701,,,0
702,27,3.96,0
703,16,2.745,3
704,24,3.866,0
705,,,0
706,,,0
707,,,0
708,19,2.6,2
709,,,0
710,,,0
711,,,0
712,,,0
713,,,0
714,,,0
715,14,,0
716,,,0
717,,3.25,2
718,,,0
719,,,0
720,19,3.637,0
721,,,0
722,24,2.967,1
723,,,0
724,,,0
725,21,3.643,3
726,,,0
727,22,3.148,0
728,,,0
729,,,2
730,20,2.198,3
731,16,2.514,0
732,,,0
733,21,2.692,1
734,,3.676,0
735,,,0
736,,,0
737,,1.889,0
738,13,3.116,3
739,13,3.116,3
740,13,2.148,0
741,,,0
742,,,0
743,,3.424,3
744,,,0
745,18,4.15,1
746,,,0
747,,4.271,1
748,19,3.715,0
749,,,0
750,20,2.37,2
751,22,3.31,0
752,19,3.553,1
753,,,0
754,,,0
755,,2.64,0
756,,2.64,0
757,22,3.36,0
758,,,0
759,,,0
760,,,0
761,,,0
762,,,0
763,25,3.776,1
764,21,3.18,1
765,,3.877,0
766,29,3.984,0
767,22,3.4,3
768,,,0
769,,,0
770,,,0
771,,,0
772,,,3
773,,,0
774,,,0
775,,,0
776,26,,0
777,26,4.122,0
778,,,0
779,22,3.879,0
780,24,3.88,3
781,22,3.784,0
782,22,3.784,0
783,28,3.953,0
784,,,0
785,,,0
786,,,0
787,24,2.835,3
788,,,0
789,,2.22,0
790,,,0
791,15,3.5,0
792,,,0
793,,,0
794,,,0
795,,,0
796,,,0
797,19,2.784,3
798,22,2.51,2
799,,,0
800,,,0
801,,,0
802,21,3.179,0
803,,,0
804,,,0
805,,4.047,1
806,,,0
807,25,3.337,3
808,,,0
809,,2.154,0
810,,,0
811,,,0
812,21,3.44,0
813,,1.227,2
814,21,3.458,0
815,,,0
816,,,0
817,24,3.527,2
818,,,0
819,,,0
820,18,2.78,0
821,,,0
822,,,0
823,,,0
824,,,0
825,,,0
826,,,0
827,19,3.318,0
828,,,0
829,,,0
830,23,3.239,1
831,,3.296,0
832,27,3.675,2
833,23,3.428,0
834,,,0
835,,,0
836,,,0
837,25,3.45,0
838,23,3.61,0
839,23,3.61,0
840,,,0
841,,,0
842,,,0
843,,,0
844,,3.858,0
845,,,0
846,,,0
847,,,0
848,,,0
849,,2.54,3
850,,,0
851,,,0
852,26,3.7,0
853,,2.233,1
854,,,0
855,,,1
856,,,0
857,,,0
858,,,0
859,,,0
860,14,2.162,0
861,,,0
862,,2.416,0
863,,,0
864,,,0
865,25,3.862,0
866,,,0
867,,,0
868,,,0
869,,,0
870,,,0
871,,,0
872,18,3.304,3
873,19,2.615,1
874,20,2.664,0
875,,,0
876,,,0
877,15,2.614,0
878,,2.355,0
879,16,3,0
880,,,0
881,23,3.654,0
882,25,3.76,0
883,26,3.156,0
884,,,0
885,,,0
886,,,0
887,,,0
888,,,0
889,,,0
890,,,0
891,,,3
892,,2.219,3
893,,2.219,3
894,,,0
895,,,0
896,,,0
897,,3.154,3
898,,,0
899,,,0
900,,,0
901,21,3.238,3
902,,3.297,1
903,,,0
904,21,2.74,0
905,,2.818,2
906,,,0
907,,2.215,0
908,,2.085,0
909,,,0
910,,,0
911,,,0
912,24,3.319,3
913,,,0
914,,,0
915,,2.234,0
916,,,0
917,,3.78,0
918,,,0
919,25,3.706,0
920,,,0
921,,2.658,3
922,,,0
923,,,0
924,17,3.76,0
925,,,0
926,,2.513,3
927,,3.144,3
928,,,0
929,,3.422,0
930,19,2.934,0
931,,,0
932,22,3.378,0
933,,,0
934,,,0
935,23,3.357,2
936,,,0
937,,,0
938,20,2.86,1
939,,,0
940,,,0
941,23,3.982,0
942,,,0
943,17,3.233,3
944,,,0
945,,3.221,3
946,25,3.028,0
947,,,0
948,,,0
949,,,0
950,,,3
951,,,3
952,,2.497,0
953,,,0
954,23,3.76,3
955,,,0
956,,,0
957,,3.875,0
958,,,0
959,,3.68,3
960,,,0
961,27,3.977,3
962,,,0
963,,,0
964,,,0
965,,,0
966,,,0
967,,,0
968,23,2.796,0
969,,,0
970,,,0
971,,,0
972,,2.056,0
973,20,3.632,0
974,,,0
975,,,0
976,,,0
977,,,0
978,,,0
979,,,0
980,,,0
981,22,3.583,0
982,,,0
983,,,0
984,,2.776,0
985,,,0
986,18,3.404,1
987,20,3.169,3
988,20,3.169,3
989,,2.13,0
990,,1.959,0
991,,3.483,1
992,19,3.096,0
993,,,0
994,,,0
995,,,0
996,,,0
997,,,0
998,,,0
999,,,0
1000,19,3.815,3
1001,18,3.444,0
1002,,,0
1003,,,0
1004,,2.587,3
1005,,,0
1006,,,0
1007,,,0
1008,18,2.821,1
1009,,,0
1010,22,3.44,2
1011,,,0
1012,,,0
1013,,,0
1014,,,0
1015,,,0
1016,,,0
1017,17,2.023,0
1018,15,2.77,0
1019,,,0
1020,,,0
1021,26,3.07,0
1022,,,0
1023,22,3.732,0
1024,19,2.657,1
1025,,,0
1026,,,0
1027,28,2.977,2
1028,,,1
1029,,,0
1030,,,0
1031,,,0
1032,23,3.761,2
1033,,,0
1034,24,2.73,0
1035,,,0
1036,,,0
1037,,,0
1038,16,3.43,0
1039,,,0
1040,,,0
1041,,,0
1042,18,3.041,3
1043,,,0
1044,,,0
1045,,,0
1046,,,0
1047,,,0
1048,18,2.889,3
1049,18,2.889,3
1050,,,0
1051,,,0
1052,,,0
1053,,,0
1054,,,0
1055,,,0
1056,33,3.504,0
1057,,,0
1058,,,0
1059,,,0
1060,,,0
1061,23,3.576,0
1062,,,0
1063,,,0
1064,,,0
1065,,,0
1066,,,0
1067,,,0
1068,,,0
1069,,,0
1070,,,0
1071,,,0
1072,19,3.105,0
1073,,,0
1074,,,0
1075,,,0
1076,,,0
1077,,,0
1078,,,0
1079,,,0
1080,22,3.122,1
1081,,,0
1082,,,0
1083,,,0
1084,24,3.494,2
1085,,,0
1086,,,0
1087,,,0
1088,,,0
1089,,,0
1090,,,0
1091,,,0
1092,,,0
1093,,,0
1094,27,3.545,1
1095,22,3.546,0
1096,22,3.546,0
1097,,,0
1098,19,2.692,3
1099,,,0
1100,,3.093,3
1101,20,3.046,0
1102,,,0
1103,,,0
1104,,,0
1105,25,3.86,0
1106,20,2.87,0
1107,,,0
1108,27,2.881,2
1109,21,2.78,0
1110,,,0
1111,22,3.384,0
1112,,,0
1113,18,2.2,0
1114,,,0
1115,23,3.932,3
1116,,3.353,0
1117,,3.723,0
1118,,,0
1119,,,0
1120,,,0
1121,,,0
1122,,,0
1123,23,3.88,0
1124,,,0
1125,20,2.616,0
1126,,,0
1127,,,0
1128,,,0
1129,,,0
1130,,3.308,3
1131,,,0
1132,,2.41,0
1133,,2.41,0
1134,,,0
1135,31,3.589,0
1136,,,0
1137,,,0
1138,,,0
1139,,,0
1140,,,0
1141,,,0
1142,,,0
1143,25,1.931,1
1144,21,3.907,0
1145,20,3.476,3
1146,,,0
1147,,,0
1148,,,0
1149,,,0
1150,19,2.8,1
1151,,,0
1152,,,0
1153,,,0
1154,19,3.236,3
1155,16,2.702,0
1156,33,4,0
1157,17,3.152,0
1158,,,0
1159,,,0
1160,16,,0
1161,,,0
1162,,,0
1163,,,0
1164,,3.54,2
1165,20,4,0
1166,,,0
1167,,,0
1168,,,0
1169,20,3.16,3
1170,,,0
1171,19,3.048,1
1172,20,3.01,3
1173,,,3
1174,28,3.682,3
1175,24,,0
1176,28,3.979,3
1177,,,0
1178,,,0
1179,,,0
1180,18,3.717,3
1181,,,0
1182,23,3.638,0
1183,,,0
1184,,,0
1185,,,0
1186,,,3
1187,,,3
1188,,,0
1189,,,0
1190,23,3.846,0
1191,,,0
1192,,,0
1193,,,0
1194,,,0
1195,,,0
1196,,,0
1197,25,3.846,0
1198,,,0
1199,,,0
1200,,,0
1201,24,3.391,2
1202,,,0
1203,,,0
1204,,,0
1205,,,0
1206,,,0
1207,,,0
1208,,,0
1209,,,0
1210,,,0
1211,,,0
1212,,,0
1213,20,2.48,1
1214,23,2.856,0
1215,,,0
1216,,,0
1217,,,0
1218,,,0
1219,,,0
1220,,,0
1221,,,0
1222,18,2.767,0
1223,28,3.421,0
1224,,2.43,3
1225,,,0
1226,,,0
1227,,,0
1228,,,0
1229,,,0
1230,,,0
1231,,,0
1232,,,0
1233,23,3.684,0
1234,,,0
1235,,,0
1236,22,3.855,3
1237,29,4,1
1238,29,4,1
1239,,,0
1240,,,0
1241,,,0
1242,,,0
1243,,,0
1244,,,0
1245,,,0
1246,,,0
1247,,2.837,1
1248,,,0
1249,,,0
1250,,,0
1251,,,0
1252,26,3.839,0
1253,,,0
1254,,,0
1255,,,0
1256,,,0
1257,25,3.347,3
1258,26,3.86,0
1259,23,3.907,0
1260,,,0
1261,,,0
1262,,,0
1263,,,0
1264,,,0
1265,,,0
1266,,,0
1267,,,0
1268,,,0
1269,,,0
1270,23,3.52,0
1271,,,0
1272,,,0
1273,,,0
1274,,,0
1275,33,3.884,0
1276,25,2.975,0
1277,,,2
1278,,,0
1279,,,1
1280,,,0
1281,,,0
1282,,,0
1283,28,4,1
1284,22,3.969,3
1285,,,0
1286,25,3.6,0
1287,25,3.6,0
1288,,,0
1289,,,0
1290,,,0
1291,,,0
1292,30,3.956,3
1293,17,3.134,0
1294,,3.061,0
1295,,,0
1296,,,0
1297,,,0
1298,,,0
1299,,3.6,0
1300,,,0
1301,,,0
1302,,,0
1303,,,0
1304,,,0
1305,,,2
1306,,,0
1307,,,0
1308,,,0
1309,,,0
1310,,,0
1311,,,0
1312,,3.487,0
1313,27,3.845,1
1314,,,0
1315,,2.743,0
1316,,,0
1317,,3.449,0
1318,,,0
1319,22,3.713,0
1320,,1.542,0
1321,,,0
1322,,,0
1323,19,3.832,0
1324,,,0
1325,,,0
1326,,,0
1327,,,0
1328,,,0
1329,,,0
1330,23,3.82,3
1331,23,3.82,3
1332,,,0
1333,,,0
1334,,,0
1335,22,3.734,2
1336,29,3.883,0
1337,29,3.883,0
1338,,,0
1339,26,3.461,0
1340,24,3.797,0
1341,,,0
1342,,,0
1343,,,0
1344,25,3.554,0
1345,,,0
1346,26,3.443,1
1347,,,0
1348,,,0
1349,,,0
1350,25,3.581,2
1351,21,3.316,0
1352,,,0
1353,,,0
1354,,,0
1355,,,0
1356,28,3.76,0
1357,,,0
1358,,,3
1359,,,0
1360,,,0
1361,,,0
1362,,,0
1363,,,0
1364,,,0
1365,23,,0
1366,,,0
1367,,,0
1368,,,0
1369,,,0
1370,,,0
1371,,,0
1372,,,0
1373,,,0
1374,,,0
1375,,,0
1376,,,0
1377,,,0
1378,,,0
1379,,,0
1380,29,3.75,0
1381,21,3.708,0
1382,,,0
1383,,,0
1384,,,0
1385,,,0
1386,20,3.46,0
1387,,,0
1388,,2.69,3
1389,26,3.15,0
1390,,,0
1391,,,0
1392,28,3.44,1
1393,27,3.755,0
1394,31,3.96,0
1395,25,3.423,0
1396,,,0
1397,29,3.954,0
1398,,,0
1399,25,3.442,0
1400,28,3.63,3
1401,,,0
1402,,,0
1403,25,4.084,0
1404,23,3.777,2
1405,,,3
1406,,,0
1407,,,0
1408,25,2.908,2
1409,25,2.908,2
1410,,,0
1411,,,0
1412,,,0
1413,30,3.905,0
1414,,,0
1415,,,0
1416,26,4.068,0
1417,,,0
1418,29,3.108,0
1419,,2.92,2
1420,22,3.22,1
1421,,,0
1422,,,0
1423,,,0
1424,30,3.58,0
1425,,,0
1426,19,3.256,0
1427,,,0
1428,,,0
1429,23,3.384,2
1430,23,3.384,2
1431,,,0
1432,22,3.417,3
1433,26,3.2,3
1434,,3.253,3
1435,21,3.563,0
1436,23,3.427,0
1437,23,3.427,0
1438,30,4,2
1439,21,3.667,0
1440,,,0
1441,,,0
1442,,,0
1443,,,0
1444,22,,3
1445,,,0
1446,31,3.206,0
1447,,,0
1448,25,3.821,1
1449,17,2.125,0
1450,,,0
1451,,,0
1452,22,2.734,0
1453,,,0
1454,,,0
1455,,,0
1456,19,,0
1457,14,3.144,3
1458,,,0
1459,,,0
1460,,,0
1461,,,0
1462,,,0
1463,20,3.255,0
1464,34,3.593,2
1465,,,0
1466,18,,1
1467,,,0
1468,,,0
1469,,,0
1470,,,0
1471,,,0
1472,,,0
1473,,,0
1474,,,0
1475,24,4,3
1476,,,0
1477,20,3.195,0
1478,,2.11,0
1479,,,0
1480,,,0
1481,,,0
1482,,,0
1483,,,0
1484,19,3.065,0
1485,19,3.065,0
1486,19,3.793,2
1487,25,4.129,0
1488,31,4.43,1
1489,27,3.719,0
1490,,,0
1491,,,0
1492,,,0
1493,,,0
1494,21,,3
1495,23,3.28,3
1496,,,0
1497,20,3.159,2
1498,,,0
1499,,,0
1500,18,3.056,0
1501,,2.336,1
1502,,,0
1503,,,0
1504,20,3.869,3
1505,20,3.937,3
1506,,2.856,0
1507,,,0
1508,,,0
1509,,,0
1510,24,3.087,0
1511,17,2.51,0
1512,,,0
1513,28,3.62,0
1514,,,0
1515,,,0
1516,,1.742,3
1517,21,3.1,0
1518,,,0
1519,,,0
1520,,,0
1521,25,3.227,0
1522,,,0
1523,,,0
1524,,,0
1525,,,2
1526,,,0
1527,,,0
1528,27,3.55,0
1529,,,0
1530,,,0
1531,26,3.54,0
1532,22,3,0
1533,,,0
1534,,,0
1535,22,3.993,0
1536,,,0
1537,19,2.3,0
1538,21,2.637,2
1539,,,0
1540,,,0
1541,30,,0
1542,,,0
1543,,,0
1544,,,0
1545,,,0
1546,,,0
1547,,,0
1548,,,0
1549,,,0
1550,,,0
1551,,,0
1552,,,0
1553,,,0
1554,,2.319,0
1555,,,0
1556,19,2.88,0
1557,19,3.78,1
1558,19,3.78,1
1559,,,0
1560,,,0
1561,,,0
1562,,,0
1563,,,0
1564,,,0
1565,22,2.698,0
1566,20,3.33,0
1567,18,2.723,3
1568,,,0
1569,,,0
1570,,,0
1571,,,0
1572,,,0
1573,23,3.57,0
1574,23,3.994,0
1575,,,0
1576,,,0
1577,,,0
1578,,,0
1579,,,0
1580,,,0
1581,,,0
1582,29,3.828,0
1583,,,0
1584,,,0
1585,,,0
1586,26,3.61,0
1587,,1.688,0
1588,,,0
1589,,,0
1590,,,0
1591,,,0
1592,,,0
1593,,2.31,3
1594,23,3.21,0
1595,,,0
1596,,,0
1597,28,3.669,0
1598,,,0
1599,,,0
1600,23,2.006,3
1601,,,0
1602,,,0
1603,,,0
1604,26,3.924,3
1605,26,3.72,0
1606,,,0
1607,20,3.76,3
1608,24,4.08,3
1609,,,0
1610,,,0
1611,,,0
1612,,,0
1613,,,0
1614,,,0
1615,,2.727,0
1616,25,3.032,0
1617,25,3.927,0
1618,,,0
1619,,,0
1620,,,0
1621,,,0
1622,,,0
1623,,,0
1624,,,0
1625,,,0
1626,,,0
1627,,,0
1628,,,0
1629,18,3.562,3
1630,,,0
1631,,,0
1632,,,0
1633,22,3.541,0
1634,26,3.342,0
1635,,,0
1636,21,2.924,0
1637,,,0
1638,,1.845,0
1639,,,0
1640,,,0
1641,,,0
1642,,,0
1643,,,0
1644,,1.927,3
1645,,,0
1646,,,0
1647,,,0
1648,20,2.995,0
1649,,,0
1650,,,0
1651,27,3.474,0
1652,,,0
1653,,,0
1654,31,3.045,0
1655,,,0
1656,,,0
1657,20,3.649,0
1658,,,0
1659,20,3.157,1
1660,,,0
1661,,,0
1662,,2.215,0
1663,,,0
1664,,,0
1665,27,3.909,0
1666,26,3.917,0
1667,,,0
1668,,,0
1669,,,0
1670,17,2.946,3
1671,30,4.048,2
1672,,,0
1673,,,0
1674,,,0
1675,,,0
1676,,,0
1677,23,4.067,3
1678,,,0
1679,,,0
1680,25,2.818,2
1681,,,0
1682,,,3
1683,,,0
1684,26,3.473,1
1685,,,0
1686,,,0
1687,,,0
1688,,,0
1689,,,0
1690,,,0
1691,,,0
1692,,,0
1693,21,3.321,0
1694,,,0
1695,21,3.62,2
1696,,,0
1697,,,0
1698,16,3.69,3
1699,28,3.931,3
1700,27,3.415,1
1701,,,0
1702,,,0
1703,,,0
1704,,,0
1705,,,0
1706,,,0
1707,,,0
1708,,,0
1709,,,0
1710,,,0
1711,,,0
1712,,,0
1713,,,0
1714,,,0
1715,24,2.528,2
1716,,,0
1717,21,3.2,1
1718,,,0
1719,,,0
1720,,,0
1721,19,3.347,0
1722,,,0
1723,,2.93,0
1724,,,0
1725,,,0
1726,,,0
1727,,,0
1728,,,0
1729,21,3.976,0
1730,,,0
1731,,,0
1732,,,0
1733,,,0
1734,,,0
1735,,,0
1736,,,0
1737,17,2.44,3
1738,,,0
1739,,,0
1740,,,0
1741,,,0
1742,,,0
1743,21,4.06,2
1744,,,0
1745,,,0
1746,,,0
1747,,,0
1748,,,0
1749,,,0
1750,27,3.38,0
1751,27,3.38,0
1752,,,0
1753,,,0
1754,,2.637,0
1755,,,0
1756,,,0
1757,,,0
1758,,,0
1759,,,0
1760,,,0
1761,,,0
1762,,,0
1763,,,0
1764,,,0
1765,28,4.205,0
1766,16,3.268,0
1767,,,0
1768,23,3.756,0
1769,22,3.784,1
1770,24,3.698,0
1771,18,3.053,0
